Reservation-id,Gender,Age,Income,Expected_checkin,Expected_checkout,Booking_date,Adults,Children,Babies,Visted_Previously,Previous_Cancellations,Required_Car_Parking,Use_Promotion,Discount_Rate,Room_Rate,Eth__African American,Eth__Asian American,Eth__Latino,Eth__caucasian,Ed_L__College,Ed_L__Grad,Ed_L__High-School,Ed_L__Mid-School,Country_R__East,Country_R__North,Country_R__South,Country_R__West,Hotel_T__Airport Hotels,Hotel_T__City Hotel,Hotel_T__Resort,Meal_T__BB,Meal_T__FB,Meal_T__HB,Expected_Checking_days,week_end/day,Reservation_Status
39428300,1,1,1,2015-07-01,2015-07-02,2015-05-21,2,2,0,0,0,1,1,10,218,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1
77491756,1,2,3,2015-07-01,2015-07-02,2015-05-26,3,3,0,0,0,1,0,0,185,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,1
73747291,1,1,1,2015-07-02,2015-07-06,2015-06-29,3,3,0,0,0,1,0,0,119,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,4,0,1
67301739,0,0,4,2015-07-02,2015-07-03,2015-06-20,4,3,0,0,0,1,1,5,144,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1
77222321,1,3,2,2015-07-03,2015-07-04,2015-06-20,1,1,0,0,0,0,1,10,242,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1
55152245,0,1,4,2015-07-03,2015-07-04,2015-06-20,5,2,1,1,0,0,1,10,143,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1
87139343,1,2,1,2015-07-03,2015-07-04,2015-07-04,2,1,0,1,1,1,1,25,212,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1
7647912,0,1,4,2015-07-03,2015-07-04,2015-06-25,2,1,0,0,0,1,0,0,170,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,1
94296865,0,2,4,2015-05-06,2015-05-07,2015-02-11,3,2,0,0,0,1,1,10,245,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1
93087487,0,0,3,2015-04-22,2015-04-25,2015-02-09,2,3,0,1,0,0,1,20,212,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,3,0,1
21683013,0,3,1,2015-06-23,2015-06-26,2015-06-03,1,3,0,0,0,0,0,0,106,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,3,0,1
41573356,1,2,3,2015-07-05,2015-07-06,2015-06-01,4,3,0,1,0,1,1,10,208,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1
27295370,0,2,2,2015-07-05,2015-07-06,2015-04-29,1,2,0,1,0,0,0,0,145,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1
84744933,1,1,1,2015-07-05,2015-07-09,2015-06-21,1,2,0,1,0,1,1,25,180,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,4,1,1
79158038,1,3,2,2015-07-05,2015-07-07,2015-05-31,1,2,2,0,0,1,1,15,246,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,2,1,1
49456071,0,1,4,2015-07-05,2015-07-06,2015-04-29,3,3,1,0,0,1,1,10,203,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1
99089071,1,0,2,2015-07-05,2015-07-08,2015-06-01,1,2,0,0,0,1,0,0,220,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,3,1,1
26323232,0,1,1,2015-07-02,2015-07-03,2015-06-21,1,1,2,1,0,0,0,0,182,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
14142898,1,2,1,2015-07-02,2015-07-03,2015-07-03,3,1,1,0,0,1,1,10,168,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1
13898482,0,3,3,2015-07-05,2015-07-06,2015-06-29,1,1,0,0,0,1,0,0,234,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1
37437329,0,0,1,2015-07-06,2015-07-07,2015-05-31,1,3,2,0,0,1,1,10,118,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
42680944,1,3,4,2015-07-07,2015-07-11,2015-04-30,1,2,0,0,0,0,1,5,220,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,4,0,1
67286844,0,1,2,2015-07-07,2015-07-08,2015-04-27,3,1,0,0,0,1,1,20,222,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
85519191,1,2,2,2015-07-07,2015-07-10,2015-04-29,5,3,0,0,0,0,1,25,161,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,0,1
2579451,1,1,3,2015-07-01,2015-07-03,2015-02-26,2,1,0,0,0,1,1,10,101,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,2,0,1
17727805,0,1,1,2015-07-08,2015-07-09,2015-04-22,3,1,1,1,0,1,0,0,105,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
44808431,1,1,1,2015-07-08,2015-07-09,2015-05-22,2,2,0,1,0,1,0,0,146,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
70317745,1,1,2,2015-05-11,2015-05-12,2015-03-13,3,2,0,0,0,1,1,20,162,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1
69306508,1,0,1,2015-07-08,2015-07-09,2015-04-23,1,2,0,1,0,1,1,10,129,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1
65535117,0,3,3,2015-07-08,2015-07-10,2015-04-02,2,1,0,0,0,1,0,0,218,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1
72188000,0,1,1,2015-07-15,2015-07-18,2015-03-22,2,1,0,0,0,1,1,20,191,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,3,0,1
34053875,1,1,2,2015-07-16,2015-07-17,2015-04-13,5,2,0,0,0,1,1,25,154,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1
95959457,1,0,2,2015-05-29,2015-05-30,2015-02-23,3,2,0,0,0,1,0,0,173,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1
33334436,1,2,3,2015-07-08,2015-07-09,2015-05-01,4,2,1,1,0,1,0,0,216,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
97828465,1,2,3,2015-05-19,2015-05-22,2015-04-07,3,2,1,0,0,1,1,5,103,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,3,0,1
70532206,1,1,3,2015-06-19,2015-06-20,2015-05-11,3,1,0,0,0,0,1,25,246,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1
98511366,1,1,4,2015-07-06,2015-07-09,2015-06-24,5,2,0,0,0,1,0,0,156,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,3,0,1
62860295,1,0,3,2015-07-06,2015-07-07,2015-06-01,3,1,0,1,0,0,1,10,237,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1
47244513,0,1,2,2015-05-23,2015-05-27,2015-04-14,4,2,1,1,0,0,0,0,166,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,4,1,1
5385714,0,0,3,2015-07-07,2015-07-11,2015-05-02,1,2,1,0,0,1,1,25,208,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,4,0,1
95106668,1,1,2,2015-05-18,2015-05-19,2015-04-04,1,1,0,0,0,1,1,30,159,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1
140349,1,1,2,2015-07-07,2015-07-10,2015-05-26,2,2,0,0,0,0,1,10,188,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,3,0,1
7709904,1,2,3,2015-07-07,2015-07-08,2015-06-22,2,1,0,0,0,1,1,20,134,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
89888538,1,0,3,2015-07-07,2015-07-08,2015-04-29,2,1,0,1,1,1,1,20,218,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
37320420,1,3,3,2015-07-09,2015-07-13,2015-03-28,1,2,1,0,0,1,0,0,101,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,4,0,1
94772738,0,1,3,2015-06-02,2015-06-05,2015-04-19,2,1,0,0,0,1,0,0,124,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,1
67740487,1,3,1,2015-07-09,2015-07-11,2015-04-06,3,2,1,1,0,1,1,10,243,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,0,1
56263406,0,3,1,2015-07-09,2015-07-10,2015-03-19,1,1,1,0,0,1,1,25,238,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
93676283,0,3,1,2015-07-09,2015-07-13,2015-04-14,2,2,0,0,0,1,0,0,150,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,4,0,1
73719356,1,3,4,2015-07-09,2015-07-10,2015-05-21,1,2,0,0,0,1,1,5,111,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1
62215136,1,1,3,2015-07-09,2015-07-12,2015-03-21,2,2,0,1,0,1,1,20,240,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,3,0,1
53295296,0,2,2,2015-07-13,2015-07-14,2015-04-12,3,1,0,0,0,0,1,40,237,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1
21196935,0,1,3,2015-07-16,2015-07-17,2015-05-02,2,2,0,0,0,1,0,0,228,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1
6285306,1,2,3,2015-07-03,2015-07-04,2015-07-01,2,2,1,1,1,0,1,25,175,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,1
50124298,0,0,4,2015-07-03,2015-07-07,2015-07-06,2,2,0,0,0,1,1,15,199,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,4,1,1
44843313,1,3,3,2015-07-03,2015-07-04,2015-07-03,2,1,0,1,1,0,1,20,158,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1
