Reservation-id,Income,Children,Babies,Visted_Previously,Previous_Cancellations,Required_Car_Parking,Eth__African American,Eth__caucasian,Country_R__North,Hotel_T__Airport Hotels,Hotel_T__Resort,Meal_T__BB,Meal_T__FB,Meal_T__HB,week_end/day,Reservation_Status
39428300,1,2,0,0,0,1,0,0,1,0,0,1,0,0,0,1
77491756,3,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1
73747291,1,3,0,0,0,1,0,1,0,0,0,1,0,0,0,1
67301739,4,3,0,0,0,1,1,0,0,1,0,1,0,0,0,1
77222321,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
55152245,4,2,1,1,0,0,1,0,1,1,0,1,0,0,1,1
87139343,1,1,0,1,1,1,1,0,0,1,0,1,0,0,1,1
7647912,4,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1
94296865,4,2,0,0,0,1,1,0,0,0,1,1,0,0,0,1
93087487,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1
21683013,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,1
41573356,3,3,0,1,0,1,0,0,0,1,0,0,0,1,1,1
27295370,2,2,0,1,0,0,0,1,1,0,0,1,0,0,1,1
84744933,1,2,0,1,0,1,0,0,0,1,0,0,0,1,1,1
79158038,2,2,2,0,0,1,1,0,0,1,0,1,0,0,1,1
49456071,4,3,1,0,0,1,0,1,1,0,1,1,0,0,1,1
99089071,2,2,0,0,0,1,0,0,0,0,1,1,0,0,1,1
26323232,1,1,2,1,0,0,0,0,0,1,0,1,0,0,0,1
14142898,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
13898482,3,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1
37437329,1,3,2,0,0,1,1,0,0,0,1,1,0,0,0,1
42680944,4,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1
67286844,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
85519191,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2579451,3,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1
17727805,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
44808431,1,2,0,1,0,1,1,0,0,0,0,1,0,0,0,1
70317745,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1
69306508,1,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1
65535117,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
72188000,1,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1
34053875,2,2,0,0,0,1,0,0,0,1,0,1,0,0,0,1
95959457,2,2,0,0,0,1,0,0,0,1,0,1,0,0,1,1
33334436,3,2,1,1,0,1,0,0,0,1,0,1,0,0,0,1
97828465,3,2,1,0,0,1,0,1,0,0,0,1,0,0,0,1
70532206,3,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1
98511366,4,2,0,0,0,1,0,1,0,1,0,1,0,0,0,1
62860295,3,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
47244513,2,2,1,1,0,0,1,0,0,0,0,1,0,0,1,1
5385714,3,2,1,0,0,1,0,1,0,1,0,0,0,1,0,1
95106668,2,1,0,0,0,1,1,0,0,1,0,1,0,0,0,1
140349,2,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1
7709904,3,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1
89888538,3,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1
37320420,3,2,1,0,0,1,0,1,0,1,0,1,0,0,0,1
94772738,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1
67740487,1,2,1,1,0,1,0,1,0,0,1,1,0,0,0,1
56263406,1,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1
93676283,1,2,0,0,0,1,0,1,0,0,1,0,0,1,0,1
73719356,4,2,0,0,0,1,1,0,1,1,0,0,0,1,0,1
62215136,3,2,0,1,0,1,0,0,0,0,1,1,0,0,0,1
53295296,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
21196935,3,2,0,0,0,1,1,0,0,0,0,1,0,0,0,1
6285306,3,2,1,1,1,0,0,0,0,0,0,1,0,0,1,1
50124298,4,2,0,0,0,1,1,0,1,1,0,1,0,0,1,1
44843313,3,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1
62712158,4,2,1,0,0,1,0,1,1,1,0,1,0,0,1,1
62570719,3,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1
31873692,2,2,0,1,0,1,1,0,0,0,0,1,0,0,1,1
88607277,4,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
45408396,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1
60695251,4,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1
18301716,2,2,0,1,0,1,0,1,0,0,1,1,0,0,1,1
75436311,1,2,0,1,1,1,0,0,0,1,0,1,0,0,1,1
51494336,2,3,0,1,1,0,0,0,1,0,0,0,0,1,0,1
37564720,1,1,0,1,0,1,1,0,1,0,0,1,0,0,1,1
84070025,4,1,2,0,0,1,0,0,0,1,0,1,0,0,1,1
58266326,1,3,1,1,0,1,1,0,1,1,0,1,0,0,1,1
